43.00, 33.65
43.00, 33.65
43.00, 33.65
43.00, 33.65
43.00, 33.37
44.00, 33.37
43.00, 33.37
43.00, 33.47
43.00, 33.47
43.00, 33.47
44.00, 33.47
43.00, 33.47
43.00, 33.37
43.00, 33.37
44.00, 33.37
43.00, 33.37
43.00, 33.47
43.00, 33.47
43.00, 33.47
44.00, 33.47
43.00, 33.47
45.00, 33.55
45.00, 33.55
44.00, 33.55
43.00, 33.55
43.00, 33.55
43.00, 33.55
43.00, 33.55
42.00, 33.55
42.00, 33.55
42.00, 33.55
42.00, 33.55
42.00, 33.55
43.00, 33.55
42.00, 33.55
42.00, 33.55
42.00, 33.69
42.00, 33.69
43.00, 33.69
42.00, 33.69
42.00, 33.69
43.00, 33.69
42.00, 33.69
42.00, 33.69
43.00, 33.69
43.00, 33.69
43.00, 33.63
43.00, 33.63
43.00, 33.63
42.00, 33.63
42.00, 33.63
42.00, 33.63
43.00, 33.63
43.00, 33.63
42.00, 33.63
43.00, 33.63
42.00, 33.71
8.00, 26.79
7.00, 26.79
7.00, 26.79
7.00, 26.79
6.00, 26.79
6.00, 26.79
5.00, 26.79
5.00, 26.79
5.00, 26.79
5.00, 26.79
5.00, 26.79
4.00, 26.93
4.00, 26.93
5.00, 26.93
5.00, 26.93
5.00, 26.93
5.00, 26.93
5.00, 26.93
6.00, 26.93
5.00, 26.93
5.00, 26.93
4.00, 26.93
4.00, 26.93
4.00, 29.69
4.00, 29.69
4.00, 29.69
5.00, 29.69
5.00, 29.69
5.00, 29.69
3.00, 29.69
3.00, 29.69
2.00, 29.69
2.00, 29.69
2.00, 29.69
2.00, 34.07
2.00, 34.07
2.00, 34.07
2.00, 34.07
1.00, 34.07
1.00, 34.07
2.00, 34.07
1.00, 34.07
1.00, 34.07
2.00, 34.07
2.00, 34.07
2.00, 34.07
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.11
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.21
2.00, 35.09
2.00, 35.09
2.00, 35.09
2.00, 35.09
2.00, 35.09
2.00, 35.09
2.00, 35.09
2.00, 35.09
